Остатки по КТ по размерам
Артикул продавца,Название,Артикул WB,Предмет,Бренд,Размер,Регион,Склад,Доступность,"Заказали, шт","Заказали на сумму, ₽","Выкупили, шт","Выкупили на сумму, ₽",Процент выкупа,"Заказы в среднем за октябрь, шт","Общее среднее кол-во заказов, шт","Остатки на текущий день, шт","Стоимость остатков на текущий день, ₽",Оборачиваемость текущих остатков,Оборачиваемость средних остатков,"В пути к клиенту, шт","В пути от клиента, шт","Текущая цена с учетом скидок, ₽",Время отсутствия товара на складе,"Упущенные заказы, шт","Сумма упущенных заказов, ₽","Упущенные выкупы, шт","Сумма упущенных выкупов, ₽"
Its1_2_3/50g+Aks5/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",262310316,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Рязань (Тюшевское),Неликвид,,,,,,,,,,0ч,>999д,,,2710,6д 20ч,0,0,0,0
Its1_2_3/50g+Aks5/20g,"Коллаген морской порошок питьевой для здоровья волос, ногтей",262310316,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Уфа,Неликвид,,,,,,,,,,>999д,0ч,,1,2710,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Новосемейкино,Баланс,24,45298,7,12198,100,3.43,3.43,77,156503,19д 17ч,22д 4ч,9,,2033,21ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Рязань (Тюшевское),Баланс,12,22650,6,11003,86,1.71,1.71,47,95528,32д 0ч,34д 20ч,2,,2033,0ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Электросталь,Баланс,8,14554,5,9085,100,1.14,1.14,1,2033,9ч,17ч,,,2033,4д 1ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Котовск,Баланс,7,13077,4,7416,100,1,1,93,189023,93д 0ч,95д 7ч,1,,2033,0ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Подольск 3,Баланс,6,10799,4,7323,100,0.86,0.86,,,0ч,3д 0ч,1,,2033,3д 6ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Южный + Северо-Кавказский,Краснодар,Баланс,5,9553,2,3680,100,0.71,0.71,49,99593,68д 14ч,72д 16ч,,,2033,0ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Екатеринбург - Перспективный 12,Баланс,2,3794,1,1761,100,0.29,0.29,,,0ч,1д 1ч,1,,2033,6д 9ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Маркетплейс,Маркетплейс,Баланс,1,2033,,,,0.14,0.14,2815,5721488,>999д,>999д,1,,2033,0ч,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Дальневосточный + Сибирский,Артём,Баланс,,,,,,,,,,>999д,0ч,,1,2033,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Приволжский,Казань,Баланс,,,,,,,,,,0ч,0ч,,,2033,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Коледино,Баланс,,,,,,,,,,>999д,0ч,39,3,2033,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Пушкино,Баланс,,,,,,,,,,>999д,0ч,,1,2033,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Радумля 1,Баланс,,,,,,,,,,0ч,0ч,1,,2033,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Дальневосточный + Сибирский,СЦ Барнаул,Баланс,,,,,,,,,,0ч,0ч,1,,2033,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Северо-Западный,СЦ Вологда 2,Баланс,,,,,,,,,,0ч,0ч,1,,2033,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Уральский,Челябинск,Баланс,,,,,,,,,,0ч,0ч,1,,2033,Отсутствовал весь период,0,0,0,0
Its1_2_3/50g,Морской коллаген хондропротектор порошок для лица и волос,163383326,Комплексные пищевые добавки,ITS COLLAGEN,-,Центральный,Чехов 1,Баланс,,,,,,,,193,392273,>999д,>999д,,,2033,0ч,0,0,0,0
